ID;RANK;NAME;CITY;COUNTRY_ISO_3;HEIGHT_M;HEIGHT_FT;FLOORS;BUILD;ARCHITECT;ARCHITECTUTAL_STYLE;COST;MATERIAL;LONGITUDE;LATITUDE;IMAGE_URL
1001;1;Burj Khalifa;Dubai;ARE;830.0;2723.0971336364746;163;2010;Adrian Smith at SOM;Neo-futurism;1.5;glass, steel, aluminum, reinforced concrete;55.2741;25.1971;https://upload.wikimedia.org/wikipedia/en/thumb/9/93/Burj_Khalifa.jpg/240px-Burj_Khalifa.jpg
1002;2;Shanghai Tower;Shanghai;CHN;632.0;2073.4908294677734;128;2015;Jun Xia (Gensler);;2.4;;121.501;31.2355;https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Shanghai_Tower_2015.jpg/480px-Shanghai_Tower_2015.jpg
1003;3;Abraj Al-Bait Clock Tower;Mecca;SAU;601.0;1971.7847919464111;120;2012;Dar Al-Handasah Architects;;15.0;steel/concrete composite construction;21.4189;39.8264;https://upload.wikimedia.org/wikipedia/en/thumb/f/f4/Abraj-al-Bait-Towers.JPG/550px-Abraj-al-Bait-Towers.JPG
1004;4;Ping An Finance Centre;Shenzhen;CHN;599.0;1965.2231121063232;115;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/Ping%27an_IFC%2C_2014-12-21.jpg/135px-Ping%27an_IFC%2C_2014-12-21.jpg
1005;5;Lotte World Tower;Seoul;KOR;555.0;1820.8661556243896;123;2016;;;0.0;;0.0;0.0;https://tse4.mm.bing.net/th?id=OIP.D3ZgZjNvpjrz23N93aTPyAHaKK&pid=Api
1006;6;CN Tower;Toronto;CAN;553.33;1815.3871529579164;0;1973;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Toronto_-_ON_-_Toronto_Harbourfront7.jpg/480px-Toronto_-_ON_-_Toronto_Harbourfront7.jpg
1007;7;One World Trade Center;New York City;USA;541.3;1775.9186487197874;104;2014;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/OneWorldTradeCenter.jpg/500px-OneWorldTradeCenter.jpg
1008;8;CTF Finance Centre;Guangzhou;CHN;530.0;1738.845157623291;111;2016;;;0.0;;0.0;0.0;https://tse1.mm.bing.net/th?id=OIP.BaQontf4T2X-xNYFFklZiAHaI0&pid=Api
1009;9;Taipei 101;Taipei;TWN;509.0;1669.9475193023682;101;2004;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Taipei101.portrait.altonthompson.jpg/480px-Taipei101.portrait.altonthompson.jpg
1010;10;Shanghai World Financial Center;Shanghai;CHN;492.0;1614.173240661621;101;2008;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/SWFT.jpg/450px-SWFT.jpg
1011;11;International Commerce Centre;Hong Kong;CHN;484.0;1587.9265213012695;118;2010;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/International_Commerce_Centre_201008.jpg/600px-International_Commerce_Centre_201008.jpg
1012;12;Petronas Tower 1;Kuala Lumpur;MYS;452.0;1482.9396438598633;88;1998;;;0.0;;0.0;0.0;https://tse1.mm.bing.net/th?id=OIP.lwiGUuc3_p4xaOoznjTNhAHaLG&pid=Api
1013;13;Petronas Tower 2;Kuala Lumpur;MYS;452.0;1482.9396438598633;88;1998;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Torres_Petronas_Mayo_2004.jpg/400px-Torres_Petronas_Mayo_2004.jpg
1014;14;Zifeng Tower;Nanjing;CHN;450.0;1476.3779640197754;89;2010;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/f/fa/Zifeng_Tower.jpg
1015;15;Willis Tower (formerly the Sears Tower);Chicago;USA;442.0;1450.1312446594238;107;1974;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Willis_Tower_night_2.jpg/400px-Willis_Tower_night_2.jpg
1016;15;KK100;Shenzhen;CHN;442.0;1450.1312446594238;100;2011;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/1/1e/KK100.jpg
1017;17;Guangzhou International Finance Center;Guangzhou;CHN;440.0;1443.569564819336;103;2010;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/GZIFC.jpg/500px-GZIFC.jpg
1018;18;Wuhan Center;Wuhan;CHN;438.0;1437.007884979248;88;2016;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Wuhan_Center_in_Jan.%2C_2016..jpg/480px-Wuhan_Center_in_Jan.%2C_2016..jpg
1019;19;Marina 101;Dubai;ARE;426.5;1399.2782258987427;101;2015;;;0.0;;0.0;0.0;https://tse4.mm.bing.net/th?id=OIP.VyQeagzuxPx2zse6l7ncHQHaL_&pid=Api
1020;20;432 Park Avenue;New York City;USA;426.0;1397.6378059387207;88;1955;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/432_Park_Avenue_Viewed_at_Night.jpg/800px-432_Park_Avenue_Viewed_at_Night.jpg
1021;21;Trump International Hotel and Tower;Chicago;USA;423.0;1387.7952861785889;98;2009;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/20090612_Chicago_Loop_view_of_the_L_Tracks%2C_35_East_Wacker%2C_and_Trump_International_Hotel_and_Tower_from_Wabash_Avenue.jpg/360px-20090612_Chicago_Loop_view_of_the_L_Tracks%2C_35_East_Wacker%2C_and_Trump_International_Hotel_and_Tower_from_Wabash_Avenue.jpg
1022;22;Jin Mao Tower;Shanghai;CHN;420.5;1379.593186378479;88;1999;;;0.0;;0.0;0.0;https://upload.wikimedia.org/wikipedia/commons/4/45/Jin_Mao_Tower.jpg
